,PT_Rn,PT_H,PT_LE,PT_G,PT_T,PT_TET,PT_Temp,2T_Rn,2T_H,2T_LE,2T_G,2T_T,2T_TET,2T_Temp_Soil,2T_Temp_Canopy,LAI,Fc
0,509.30295191506985,168.8004169803798,278.47463478046905,62.02790187181649,266.4160138167876,0.9594487928231791,304.3725036065218,507.1761712570983,118.86905352080589,331.7799101205011,56.63718198481824,331.17628558900316,0.9972991836432519,309.63610963248163,302.1630237538927,2.278230282894353,0.7712069077949923
1,576.373309079538,92.79946353862466,397.83618859790795,85.73765737329867,280.99314519353555,0.7252946561169002,298.9077563845433,578.0853549690496,70.81867355742175,423.14237622973883,84.88403375580575,316.59182176026025,0.8140587947106199,301.2411168648672,296.97363795689176,2.1679967551226285,0.726857833110598
2,546.4319406204972,195.46017712811204,278.8889976022062,72.08276552315195,266.95288922205145,0.9528400407815796,305.47062042426575,1.5504878696853817,0.9279375986212158,0.43418779370382854,0.39248247862919483,0.434187789108191,0.9999999920527141,306.8400147133447,308.7874043782552,2.3090532035445546,0.7895114351136369
3,543.8213482253301,203.37153717515287,265.9945942835147,74.45521622309181,252.91610814554707,0.9227897513734883,302.69074119339194,542.5683377724495,180.24590831116484,288.4659575280366,74.02456845098185,272.35161921662774,0.9473004143293571,306.03279160543747,300.6328435188936,2.1362649745514304,0.7565825575549023
4,529.0060983987779,95.15045552827573,363.48303596291385,70.62915074082503,301.7407437763377,0.7699630382469638,303.0704675965284,530.102087233702,84.26315371531709,374.1890871672722,71.65054598822402,294.13295650699877,0.8725394371553863,306.0202968736955,301.7628774768428,2.157471405614057,0.7689377794871348
5,492.09055568211244,319.48729477367226,54.92802346596885,117.6752363733109,50.50386935722398,0.9052128587307791,303.8960710366075,276.63556595805835,127.34870604717631,90.56818277858844,76.54562934872267,89.09644036532913,0.9892250701773526,308.09939020587933,300.7477465394132,1.0199270149975233,0.39077585701695167
6,501.3249715649866,205.81040769812904,225.5173585514817,69.99720613639862,215.21756809831143,0.9543710631356664,305.9709650794692,490.48317427086334,147.4126870388232,280.96808214345646,64.53420849445881,279.12660882247303,0.9683597705869372,308.94021142447303,303.4174336459766,2.1645699116460144,0.6143290604656838
7,577.3377036984728,109.23551199467681,383.09514491554876,85.00704642161995,282.0646794152799,0.7586296448632099,298.9077563845433,578.6005782651048,84.54053539380487,410.11204194880406,84.70750053838347,314.05916546151695,0.8359961140484558,301.2411168648672,296.97363795689176,2.1679967551226285,0.726857833110598
8,546.3225675360251,207.18901780758256,266.70845079431007,72.42510026973542,253.4610263270335,0.9485090818913051,305.47062042426575,1.552012122567884,0.9435515682506581,0.4213483298029755,0.37156699972889207,0.4213483253764099,0.9999999880790711,306.8400147133447,308.7874043782552,2.3090532035445546,0.7895114351136369
9,540.8131381958644,208.9105039644873,257.90892953493034,73.99370152024574,245.04626751755,0.9281973028388517,302.69074119339194,539.9620133504557,181.5310439656915,285.45159368914705,73.14264714722118,271.70380044794865,0.9540342966688288,306.03279160543747,300.6328435188936,2.1362649745514304,0.7565825575549023
10,529.793261852187,86.83394995858518,372.40063072949846,70.95991434545425,303.302110990088,0.7571461033634918,303.0704675965284,531.2550791638446,76.97514327791976,382.7248137657567,71.5557905592523,299.7925043295781,0.8701244701055417,306.0202968736955,301.7628774768428,2.157471405614057,0.7689377794871348
11,471.3721789825126,397.33319311733555,0.8097772920836896,73.22920746202847,0.6832887489849284,0.8018538587021106,308.25438298486256,333.58247390227564,251.81721063979796,34.02161059462424,53.53181001980363,26.63811243105681,0.9916232603013144,310.1108331480356,305.57576508496015,1.3646907957333008,0.4107253469920278
12,428.51856849008175,358.0671670586101,0.05060546505290385,70.40079678668492,0.0411526031883948,0.7942458443019701,307.71884200916026,282.1516927278173,213.80189024220763,25.955706744828625,49.405315059040376,18.971135999599852,0.9913002694520769,309.6444160260756,305.27197680193325,1.1675859957962866,0.35668048918847484
13,565.3057514156931,129.98366543061604,392.7853885926303,42.536696389090686,245.02588642648493,0.699587810407787,300.39816495687654,557.7204115261554,134.5136122395545,382.81884862991996,40.46241789485629,279.1296095890408,0.7848020699964611,304.4178077704621,298.35139923882605,1.6248249980040506,0.7156187837438793
14,623.0285655166645,73.1525589465472,503.38058440188564,46.519753096934636,281.7678623266686,0.5371597866645406,298.20773182679716,628.1258310472138,100.16783938989846,484.3595897048829,43.89832434531165,337.2977779300871,0.6825561589591945,301.22706210228705,296.3003543618837,1.84117939392913,0.7797269960915523
15,493.9107395055305,116.34465134527443,346.95761419718434,30.60847296616557,264.9877962356955,0.7630028210567883,300.9191141526568,491.6991428951591,131.21009777761228,331.21580431006214,29.562778902791063,286.0478200509184,0.8564335524036898,304.1439843790758,299.737885576161,1.861297318920423,0.7829944982609754
16,568.2646873297763,104.28799563111461,418.19376402899525,45.78292645390912,251.38283865501433,0.6248075162870333,306.7096796763076,544.1186963594305,133.9015209494856,367.19176975846375,43.54288039136198,238.76702646919674,0.674388879216718,311.404758168983,304.52231845734224,1.326515591886461,0.7592114487583965
17,572.7703927361889,267.53295073224473,258.4583393642452,46.77910259548463,232.291603523166,0.9061100581416408,311.57558449911414,563.4672297164427,240.0164375128544,279.47159664694465,43.97919299746292,243.2564037385198,0.9279310513899313,317.3709507338498,309.1713885736028,1.3242935043050457,0.767915480642007
18,538.360634646876,198.57776214820072,297.06051376657086,42.72235732495548,225.74474981120215,0.7632745921386377,302.38500788031,487.7331604383749,211.2449199447538,239.31722303204313,38.42174414616416,216.78667922186068,0.8647171975182331,305.7074229969923,299.74593644270396,1.4006602482692114,0.5196718192221271
19,580.0780894269507,258.1452754913332,272.5200507552811,49.41276399757044,226.24324363243363,0.8376836450860917,307.51648603633123,555.1262848185834,237.77790242846893,275.17047023427887,43.05456863720184,269.5144642991752,0.9374751708332112,312.9352824818004,303.19163110456213,1.4031160652807484,0.5288411728948086
20,424.5237461374016,8.274060185964338,400.85275945675363,25.49257741198633,247.73742257596896,0.6266730177220912,302.71980370515905,412.6485522998377,101.64001084002172,289.7095775145986,21.51830898760574,266.3743677034511,0.9530087894565423,307.3296017618574,302.5030713706519,1.3981672210390532,0.5281976955296135
